Id,Label,School Name,Year,Weight Class,High School,City,State
Adrian Rosas,Adrian Rosas,Wartburg,,125,,,
Aidan Haggard,Aidan Haggard,Wartburg,,125,,,
Alex Crawford,Alex Crawford,Wartburg,,141,,,
Blain Christie,Blain Christie,Wartburg,,149,,,
Blake Bauer,Blake Bauer,Wartburg,,149,,,
Brady Fritz,Brady Fritz,Wartburg,,149,,,
Brady Kyner,Brady Kyner,Wartburg,,125,,,
Braxton Doebel,Braxton Doebel,Wartburg,,165,,,
Brendan Carroll,Brendan Carroll,Wartburg,,149,,,
Brock Meyer,Brock Meyer,Wartburg,,285,,,
Cael Krueger,Cael Krueger,Wartburg,,184,,,
Case Harmston,Case Harmston,Wartburg,,165,,,
Colton Berg,Colton Berg,Wartburg,,174,,,
Dalton Whitehall,Dalton Whitehall,Wartburg,,125,,,
Damari Dancy,Damari Dancy,Wartburg,,285,,,
David Hollingsworth,David Hollingsworth,Wartburg,,157,,,
David Papach,David Papach,Wartburg,,184,,,
Devin Nobiling,Devin Nobiling,Wartburg,,165,,,
Dillion Bailey,Dillion Bailey,Wartburg,,285,,,
Dylan Albrecht,Dylan Albrecht,Wartburg,,133,,,
Eli Pannell,Eli Pannell,Wartburg,,197,,,
Garrett Geigner,Garrett Geigner,Wartburg,,157,,,
Jacob Herrmann,Jacob Herrmann,Wartburg,,157,,,
Jacob McBride,Jacob McBride,Wartburg,,149,,,
Jamal Chakkour,Jamal Chakkour,Wartburg,,125,,,
Joe Pins,Joe Pins,Wartburg,,133,,,
Jordon Brandon,Jordon Brandon,Wartburg,,285,,,
Josh Gervey,Josh Gervey,Wartburg,,133,,,
Justin Henry,Justin Henry,Wartburg,,197,,,
Justin Stammer,Justin Stammer,Wartburg,,165,,,
Kobe Woods,Kobe Woods,Wartburg,,197,,,
Kris Rumph,Kris Rumph,Wartburg,,149,,,
Kyle Briggs,Kyle Briggs,Wartburg,,184,,,
Kyler Romero,Kyler Romero,Wartburg,,141,,,
Luke Walker,Luke Walker,Wartburg,,197,,,
Matthew Doyle,Matthew Doyle,Wartburg,,165,,,
Matthew Phillips,Matthew Phillips,Wartburg,,157,,,
Seth Butler,Seth Butler,Wartburg,,197,,,
Trevon Wells,Trevon Wells,Wartburg,,149,,,
Zak Kozumplick,Zak Kozumplick,Wartburg,,174,,,
Zane Mulder,Zane Mulder,Wartburg,,174,,,
Zane Ziegler,Zane Ziegler,Wartburg,,141,,,
Zayren Terukina,Zayren Terukina,Wartburg,,141,,,
Brett Schoenherr,Brett Schoenherr,UW-Plattville,,285,,,
Brock Parker,Brock Parker,UW-Plattville,,149,,,
Caleb Radtke,Caleb Radtke,UW-Plattville,,133,,,
Coy Ruess,Coy Ruess,UW-Plattville,,165,,,
Isaac Wiegel,Isaac Wiegel,UW-Plattville,,125,,,
Jacob Sklenar,Jacob Sklenar,UW-Plattville,,184,,,
Nick Dado,Nick Dado,UW-Plattville,,174,,,
Owen Norman,Owen Norman,UW-Plattville,,157,,,
Tyler Hannah,Tyler Hannah,UW-Plattville,,197,,,
Zach Thompson,Zach Thompson,UW-Plattville,,141,,,
Ben Triana,Ben Triana,UNLV,,149,,,
Carmelo Castillo,Carmelo Castillo,UNLV,,141,,,
Connor Frazier,Connor Frazier,UNLV,,174,,,
Erik Escutia,Erik Escutia,UNLV,,125,,,
Michael Canada,Michael Canada,UNLV,,157,,,
Nathan Egbalic,Nathan Egbalic,UNLV,,165,,,
Rene Hernandez,Rene Hernandez,UNLV,,184,,,
Richard Kilgore,Richard Kilgore,UNLV,,197,,,
Sillvano Villenueva,Sillvano Villenueva,UNLV,,285,,,
Andrew Wolff,Andrew Wolff,Simpson,,197,,,
Dylan McChesney,Dylan McChesney,Simpson,,125,,,
Joe Weaver,Joe Weaver,Simpson,,133,,,
Zach Stewar,Zach Stewar,Simpson,,141,,,
Jakob Slavin,Jakob Slavin,Simpson,,165,,,
Nathan Keating,Nathan Keating,Simpson,,174,,,
Robert Silva,Robert Silva,Simpson,,157,,,
Sam McCoy,Sam McCoy,Simpson,,149,,,
Shane Mathias,Shane Mathias,Simpson,,184,,,
Bradley Dockter,Bradley Dockter,Ottawa Arizona,,141,,,
Izaak Martinez,Izaak Martinez,Ottawa Arizona,,125,,,
Jacob Bernal,Jacob Bernal,Ottawa Arizona,,165,,,
Jonah Roa,Jonah Roa,Ottawa Arizona,,157,,,
Julian Hernandez,Julian Hernandez,Ottawa Arizona,,184,,,
Julian Kennedy,Julian Kennedy,Ottawa Arizona,,174,,,
Junior Camarillo,Junior Camarillo,Ottawa Arizona,,149,,,
Justin Wood,Justin Wood,Ottawa Arizona,,133,,,
Mark Williams,Mark Williams,Ottawa Arizona,,285,,,
Ryan Nardozzi,Ryan Nardozzi,Ottawa Arizona,,197,,,
Christian Lenon,Christian Lenon,Ollivet,,149,,,
Dominick Wilson,Dominick Wilson,Ollivet,,285,,,
Dylan Briggs,Dylan Briggs,Ollivet,,165,,,
Emmett Kettel,Emmett Kettel,Ollivet,,125,,,
Isaac Hall,Isaac Hall,Ollivet,,197,,,
Justin Carnahan,Justin Carnahan,Ollivet,,184,,,
Owen Guilford,Owen Guilford,Ollivet,,174,,,
Ramiro Guerrero,Ramiro Guerrero,Ollivet,,157,,,
Reese Wallis,Reese Wallis,Ollivet,,141,,,
Spencer Murphy,Spencer Murphy,Ollivet,,133,,,
Chase Kammerer,Chase Kammerer,NW,,174,,,
Christian Keller,Christian Keller,NW,,141,,,
Collin Quandt,Collin Quandt,NW,,157,,,
Drake Stuhr,Drake Stuhr,NW,,184,,,
Isaiah Graves,Isaiah Graves,NW,,125,,,
Keegan Casey,Keegan Casey,NW,,149,,,
Nate Fredenburg,Nate Fredenburg,NW,,285,,,
Sam Weaver,Sam Weaver,NW,,197,,,
Tyler Laudick,Tyler Laudick,NW,,133,,,
Zeth Gerkensmeyer,Zeth Gerkensmeyer,NW,,165,,,
Caleb Magruder,Caleb Magruder,North Central,,141,,,
Cody Baldridge,Cody Baldridge,North Central,,197,,,
Cole Cervantes,Cole Cervantes,North Central,,157,,,
Jack Hominac,Jack Hominac,North Central,,184,,,
Joey Jens,Joey Jens,North Central,,174,,,
Julian Valtierrez,Julian Valtierrez,North Central,,125,,,
Payton Geigner,Payton Geigner,North Central,,165,,,
Robbie Precin,Robbie Precin,North Central,,133,,,
Robby Bates,Robby Bates,North Central,,285,,,
Alex Villar,Alex Villar,North Central,,149,,,
Christopher Dilworth,Christopher Dilworth,NM Highlands,,184,,,
John Baker,John Baker,NM Highlands,,141,,,
Julius Johnson,Julius Johnson,NM Highlands,,174,,,
Mac Martinez,Mac Martinez,NM Highlands,,133,,,
Miguel Lara,Miguel Lara,NM Highlands,,157,,,
Xaydrian Perry,Xaydrian Perry,NM Highlands,,125,,,
Andres Grano,Andres Grano,NM Highlands,,165,,,
Antonio Guerrero,Antonio Guerrero,NM Highlands,,149,,,
Ayden Friese,Ayden Friese,Concordia-Moorehead,,184,,,
Bret Wilson,Bret Wilson,Concordia-Moorehead,,165,,,
Chase Dockter,Chase Dockter,Concordia-Moorehead,,285,,,
Cole Kubesh,Cole Kubesh,Concordia-Moorehead,,125,,,
Gabriel Zierden,Gabriel Zierden,Concordia-Moorehead,,197,,,
Jacob Prunty,Jacob Prunty,Concordia-Moorehead,,141,,,
Kaden Spindler,Kaden Spindler,Concordia-Moorehead,,174,,,
Kellen Schauer,Kellen Schauer,Concordia-Moorehead,,149,,,
Ty Bisek,Ty Bisek,Concordia-Moorehead,,133,,,
Tyler Bents,Tyler Bents,Concordia-Moorehead,,157,,,
Connor Chloupek,Connor Chloupek,Concordia Moorhead,,184,,,
David Platt,David Platt,Concordia Moorhead,,149,,,
Elijah Hunt,Elijah Hunt,Concordia Moorhead,,165,,,
Jake Nohre,Jake Nohre,Concordia Moorhead,,133,,,
Nathaniel Kisgen,Nathaniel Kisgen,Concordia Moorhead,,174,,,
Owen Bertram,Owen Bertram,Concordia Moorhead,,125,,,
Ross Meskimen,Ross Meskimen,Concordia Moorhead,,197,,,
Sam Kulseth,Sam Kulseth,Concordia Moorhead,,141,,,
Alexander McPhee,Alexander McPhee,Concordia Moorhead,,157,,,
Austin Ratliff,Austin Ratliff,Concordia Moorhead,,285,,,
Caleb Baker,Caleb Baker,Arizona Christian,,285,,,
Daniel Butler,Daniel Butler,Arizona Christian,,149,,,
Jacob Viera,Jacob Viera,Arizona Christian,,174,,,
Josiah Opp,Josiah Opp,Arizona Christian,,165,,,
Marcus Morales,Marcus Morales,Arizona Christian,,125,,,
Unknown,Unknown,Arizona Christian,,133,,,
VA Ili,VA Ili,Arizona Christian,,197,,,
Zane Mallery,Zane Mallery,Arizona Christian,,141,,,
